"wbcode","country","gdp50","gdp90","gdp95","lnd100km","pop100km","lnd100cr","pop100cr","dens65c","dens65i","dens95c","dens95i","landlock","landlneu","airdist","tropicar","troppop","malfal66","malfal94","lhcpc","south","landarea","open6590","newstate","socialst","lifex65","urbpop95","wardum","pop95","zpolar","zboreal","zdestmp","zdestrp","zdrytemp","zwettemp","zsubtrop","ztropics","zwater","eu","safri","sasia","transit","latam","eseasia","region"
"NOR","Norway",4969,16897,22262.57,0.476848,0.8808423,48,88,22.41369,2.763691,26.21252,3.232101,0,0,1000,0,0,0,0,8.032375,0,306830,1,0,0,73.8,73.2,0,4.354,0.2263796,0.6826078,0,0,0,0.0720792,0,0,0.0189334,1,0,0,0,0,0,"Western Europe"
"NPL","Nepal",729,1175,1037.199,0,0,0,0,0,75.83333,0,156.8421,1,1,5160,0,0,0.04617,0.04698,-4.60517,0,136800,0,0,0,41,10.3,0,21.456,0.0446746,0.0554734,0.1890533,0,0,0.3122781,0.3435651,0.0549556,0,0,0,1,0,0,0,"South Asia"
"PAK","Pakistan",650,1575,1558.049,0.0941959,0.0859293,9,9,67.62395,74.80611,153.7263,170.0531,0,0,5950,0,0,0.42897,0.52671,2.986579,0,770880,0,2,0,47.8,34.3,0,129.905,0.0221281,0.0492561,0.0974904,0.5784339,0.0517013,0.0142817,0.1442162,0.0367505,0.0057419,0,0,1,0,0,0,"South Asia"
"PER","Peru",2263,3000,4518.313,0.1732075,0.556205,24,56,28.76789,4.808678,59.75603,9.988481,0,0,5940,1,0.5032,0.00255,0.00205,3.923134,1,1280000,0.1153846,0,0,51.5,70.9,1,23.819,0.0412167,0.0575193,0.1136018,0.0528896,0.0380895,0.0750615,0.1511654,0.4591777,0.0112785,0,0,0,0,1,0,"Latin America & Caribbean"
"PHL","Philippines",1293,2300,3269.772,0.9985795,0.9996542,100,100,107.5375,26.15232,230.3009,56.00745,0,0,3010,1,7e-04,0.48743,0.617,2.000767,0,298170,0.1153846,2,0,56.2,54,0,68.595,0,0,0,0,0,0,0.5151995,0.3255408,0.1592597,0,0,0,0,0,1,"East and Southeast Asia"
"PNG","Papua New Guinea",919,1585,3006.26,0.6982118,0.6905215,69,69,4.690946,4.864055,9.394994,9.741696,0,0,4500,1,0.3581,0.95,0.79,5.998264,1,452860,0,2,0,45.1,16,0,4.302,0,0,0,0,0,0.1115954,0.457515,0.3453681,0.0855215,0,0,0,0,0,1,"East and Southeast Asia"
"POL","Poland",2447,5113,5619.636,0.1658235,0.121606,84,89,75.8737,108.9466,93.0161,133.5613,0,0,1130,0,0,0,0,2.496275,0,304420,0.0384615,1,1,69.9,63.7,0,38.612,0,0.0164724,0,0,0.0794291,0.9008725,0,0,0.003226,0,0,0,1,0,0,"Former Soviet Union & Eastern Europe"
"PRT","Portugal",2132,10685,12999.04,0.6084618,0.8693358,69,91,141.8488,33.13247,154.2484,36.02871,0,0,1750,0,0,0,0,-4.60517,0,91950,1,0,0,66.1,35.6,0,9.927,0,0,0,0,0.6013451,0.3412312,0.0207967,0,0.036627,1,0,0,0,0,0,"Western Europe"
"PRY","Paraguay",1340,2670,3530.087,0,0,32,55,0,5.162346,0,12.15203,1,1,7580,0.5614,0.5,0.034,0.0051,-4.60517,1,397300,0.0769231,0,0,65.1,52.4,0,4.828,0,0,0,0,0,0,0.8497769,0.1502231,0,0,0,0,0,1,0,"Latin America & Caribbean"
"ROM","Romania",1182,3460,4362.021,0.0650392,0.0462282,48,52,58.72824,84.28807,70.02214,100.4973,0,0,1820,0,0,0,0,4.688885,0,230340,0,0,1,68,55.9,0,22.692,0,0.0840226,0,0,0.3782838,0.5296047,0,0,0.0080889,0,0,0,1,0,0,"Former Soviet Union & Eastern Europe"
"RWA","Rwanda",606,741,577.1245,0,0,0,0,0,129.0231,0,259.4244,1,1,6460,1,1,1,1,3.520922,1,24670,0,2,0,44.1,5.7,0,6.4,0,0,0,0,0.1220703,0.0371094,0.8408203,0,0,0,1,0,0,0,0,"Sub-Saharan Africa"
"SDN","Sudan",1014,1123,800,0.0232301,0.0212838,0,2,4.765792,5.211964,10.29857,11.26272,0,0,4730,1,0.9796,0.89,0.81,2.91721,0,2376000,0,2,0,41.7,31.3,1,26.707,0,0,0,0.4636546,0,0,0.2250888,0.3102262,0.0010304,0,1,0,0,0,0,"Sub-Saharan Africa"
"SEN","Senegal",1110,1269,1631.917,0.244762,0.6127691,59,86,47.15005,9.656407,110.1122,22.55115,0,0,4757,1,0.4321,1,1,-4.60517,0,192530,0,2,0,38.2,43.7,0,8.468,0,0,0,0.0004239,0,0,0.1404348,0.8486041,0.0105372,0,1,0,0,0,0,"Sub-Saharan Africa"
"SGP","Singapore",2038,14663,25157.58,1,1,100,100,3081.967,0,4895.902,0,0,0,5300,1,0,0,0,-4.60517,0,610,1,2,0,67.9,100,0,2.9865,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"East and Southeast Asia"
"SLE","Sierra Leone",706,857,502.5574,0.4661856,0.5679055,49,57,41.31525,27.45249,71.35344,47.41177,0,0,5080,1,0.4978,1,1,-4.60517,0,71620,0,2,0,33.5,33.3,0,4.195,0,0,0,0,0,0,0.1409869,0.8135281,0.0454851,0,1,0,0,0,0,"Sub-Saharan Africa"
"SLV","El Salvador",1522,1961,2798.221,1,1,100,100,145.0772,0,271.3803,0,0,0,3350,1,0.012,0.00194,0,-4.60517,0,20720,0.0384615,0,0,55.9,45,1,5.623,0,0,0,0,0,0,0.9368241,0.0472396,0.0159363,0,0,0,0,1,0,"Latin America & Caribbean"
"SOM","Somalia",950,1007,500,0.4474873,0.5430974,44,54,8.200823,5.587812,18.36141,12.51095,0,0,6700,1,0.4658,1,1,0.9225517,0,627340,0,2,0,39,25.6,1,9.491,0,0,0,0.1261074,0,0,0.2952051,0.5610647,0.0176228,0,1,0,0,0,0,"Sub-Saharan Africa"
