"wbcode","country","gdp50","gdp90","gdp95","lnd100km","pop100km","lnd100cr","pop100cr","dens65c","dens65i","dens95c","dens95i","landlock","landlneu","airdist","tropicar","troppop","malfal66","malfal94","lhcpc","south","landarea","open6590","newstate","socialst","lifex65","urbpop95","wardum","pop95","zpolar","zboreal","zdestmp","zdestrp","zdrytemp","zwettemp","zsubtrop","ztropics","zwater","eu","safri","sasia","transit","latam","eseasia","region"
"ESP","Spain",2397,12170,15030.99,0.4102564,0.6325665,46,67,98.96389,39.98909,121.0159,48.89982,0,0,1420,0,0,0,0,0.6753976,0,499440,1,0,0,71.6,76.5,0,39.199,0,0.0072541,0.0157949,0,0.6291096,0.2536876,0.0675991,0,0.0265548,1,0,0,0,0,0,"Western Europe"
"ETH","Ethiopia",277,350,465.1852,0.021018,0.0150231,2,1,18.25667,25.69841,40.31593,56.7494,1,1,5740,1,0.9492,0.85,0.75,0.4469641,0,1e+06,0,0,1,38.9,15.4,1,56.404,0,0,0,0.0152651,0.0323185,0.0807963,0.6086657,0.2629544,0,0,1,0,0,0,0,"Sub-Saharan Africa"
"FIN","Finland",4131,16604,18086.44,0.2833278,0.6355669,29,63,33.61261,7.619513,37.63375,8.53105,0,0,1640,0,0,0,0,-4.60517,0,304590,1,1,0,69.6,63.2,0,5.11,0,0.9105653,0,0,0,0.0752959,0,0,0.0141387,1,0,0,0,0,0,"Western Europe"
"FRA","France",5221,17777,21168.16,0.329235,0.3294838,85,90,88.70178,88.60191,105.6242,105.5053,0,0,440,0,0,0,0,1.293263,0,550100,1,0,0,71.5,74.7,0,58.06,0.0034463,0.0339512,0,0,0.087975,0.8562934,0,0,0.018334,1,0,0,0,0,0,"Western Europe"
"GAB","Gabon",1207,2859,7428.114,0.2617914,0.4685947,27,47,3.438613,1.382892,7.481588,3.008837,0,0,5790,1,0.6198,1,1,6.657253,1,257670,0,2,0,43,50.1,0,1.077,0,0,0,0,0,0,0.8223071,0.1669023,0.0107907,0,1,0,0,0,0,"Sub-Saharan Africa"
"GBR","United Kingdom",6847,16302,19321.28,0.9234359,0.8172235,100,100,199.0842,537.0287,214.4065,578.3607,0,0,320,0,0,0,0,4.373679,0,241600,1,0,0,71.4,89.2,0,58.533,0,0.0726408,0,0,0.0138208,0.8344776,0,0,0.0790608,1,0,0,0,0,0,"Western Europe"
"GHA","Ghana",1193,966,1767.099,0.1929914,0.4331179,19,43,77.20781,24.16616,168.4113,52.71298,0,0,5190,1,0.5747,1,1,1.633371,0,227540,0.2307692,2,0,48,35.9,0,17.075,0,0,0,0,0,0,0.0621137,0.9240435,0.0138428,0,1,0,0,0,0,"Sub-Saharan Africa"
"GIN","Guinea",260,448,1734.097,0.1406412,0.2669071,17,30,26.93913,12.10934,50.90476,22.88207,0,0,4920,1,0.7507,1,1,-4.60517,0,245720,0.1923077,2,0,35.8,29.2,0,6.591,0,0,0,0,0,0,0.5464829,0.4524797,0.0010373,0,1,0,0,0,0,"Sub-Saharan Africa"
"GMB","Gambia",459,862,1272.538,0.3997696,0.6240239,100,100,63.06274,25.30601,173.7347,69.7168,0,0,4660,1,0.3605,1,1,-4.60517,0,10000,0.1923077,2,0,35,29,0,1.113,0,0,0,0,0,0,0.3440737,0.6478711,0.0080552,0,1,0,0,0,0,"Sub-Saharan Africa"
"GNB","Guinea Bissau",280,782,1006.782,0.6870649,0.812076,100,100,22.02495,11.19035,44.97461,22.85053,0,0,4780,1,0.2316,1,1,-4.60517,0,28120,0.1538462,2,0,35.5,21.7,0,1.07,0,0,0,0,0,0,0.3968486,0.5064126,0.0967387,0,1,0,0,0,0,"Sub-Saharan Africa"
"GRC","Greece",1951,10051,12056.85,0.9299707,0.9682414,93,97,69.06823,30.08471,84.54417,36.82572,0,0,2130,0,0,0,0,1.598076,0,128900,1,0,0,71,59.2,0,10.467,0,0,0,0,0.5380848,0.2761696,0.0390351,0,0.1467105,1,0,0,0,0,0,"Western Europe"
"GTM","Guatemala",1677,2461,3518.28,0.4254581,0.7327794,42,73,72.5593,19.59408,168.7104,45.55894,0,0,3300,1,0.3144,0.0204,0.012,3.274858,0,108430,0.1153846,0,0,50.1,38.9,1,10.62123,0,0,0,0,0.0542182,0.1084363,0.7055953,0.1227499,0.0090002,0,0,0,0,1,0,"Latin America & Caribbean"
"HKG","Hong Kong",1962,17120,23490,1,1,100,100,3729.293,0,6252.323,0,0,0,2940,1,0,0.046,0,-4.60517,0,990,1,0,0,70,95,0,6.1898,0,0,0,0,0,0,0.1014493,0,0.8985507,0,0,0,0,0,1,"East and Southeast Asia"
"HND","Honduras",1036,1510,2119.986,0.6686022,0.706368,67,71,21.19768,17.77783,55.93543,46.9113,0,0,3220,1,0.3687,0.00324,0.0108,-4.60517,0,111890,0,0,0,51,43.8,0,5.924,0,0,0,0,0,0,0.8599936,0.1319818,0.0080245,0,0,0,0,1,0,"Latin America & Caribbean"
"HTI","Haiti",984,1037,1128.841,1,1,100,100,150.3266,0,260.0871,0,0,0,2500,1,0,1,1,-4.60517,0,27560,0,0,0,46.3,31.8,0,7.168,0,0,0,0,0,0,0.7067702,0.2065545,0.0866753,0,0,0,0,1,0,"Latin America & Caribbean"
"HUN","Hungary",2480,6348,6761.408,0,0,90,93,0,109.8982,0,110.7754,1,0,1160,0,0,0,0,3.721241,0,92340,0.0384615,0,1,69.2,64.6,0,10.229,0,0,0,0,0.3588885,0.6411115,0,0,0,0,0,0,1,0,0,"Former Soviet Union & Eastern Europe"
"IDN","Indonesia",874,2525,3229.815,0.7457604,0.9613945,75,96,76.17235,8.972233,137.5395,16.20058,0,0,5800,1,0.044,0.41678,0.42594,4.00041,1,1811570,0.8076923,2,0,46,35.4,0,193.277,0,0,0,0,0,0.0242262,0.4360267,0.4465247,0.0932225,0,0,0,0,0,1,"East and Southeast Asia"
"IND","India",597,1316,1514.854,0.1567764,0.2246565,25,38,238.6484,153.134,447.9181,287.4166,0,0,5860,0.5119,0.3929,0.13186,0.28107,1.827014,0,2973190,0,2,0,48,26.8,0,929.358,0.0195116,0.0172687,0.0084944,0.0229782,0,0.0428379,0.4193214,0.4592453,0.0103425,0,0,1,0,0,0,"South Asia"
"IRL","Ireland",3518,11123,17641.69,0.9133892,0.9290125,91,93,42.4618,34.21706,52.94437,42.66425,0,0,800,0,0,0,0,2.718957,0,68890,0.9615384,1,0,71.1,57.5,0,3.586,0,0,0,0,0,0.945519,0,0,0.054481,1,0,0,0,0,0,"Western Europe"
"ITA","Italy",3425,15951,19829.13,0.7774464,0.7455912,86,90,169.9543,202.5813,186.5609,222.3761,0,0,1270,0,0,0,0,3.002363,0,294060,1,0,0,71,66.6,0,57.204,0.0376483,0.061924,0,0,0.3227516,0.4793687,0.0514427,0,0.0468646,1,0,0,0,0,0,"Western Europe"
"JAM","Jamaica",1103,3079,3670.417,1,1,100,100,162.5115,0,232.8809,0,0,0,2560,1,0,0,0,-4.60517,0,10830,0.3846154,2,0,66.3,53.7,0,2.5221,0,0,0,0,0,0,0.6392199,0,0.3607801,0,0,0,0,1,0,"Latin America & Caribbean"
